"Main","Middle","Sub","Address","Central","Unfiltered","Description","DatapointType","Security"
"verlichting", , ,"0/-/-","","","","","Auto"
 ,"Aan/uit", ,"0/0/-","","","","","Auto"
 , ,"Kelder (T87)","0/0/1","","","","DPST-1-1","Auto"
 , ,"Kelder - wijnkelder (T??)","0/0/2","","","","DPST-1-1","Auto"
 , ,"Garage TL (R9)","0/0/10","","","","DPST-1-1","Auto"
 , ,"Hal (R10)","0/0/11","","","","DPST-1-1","Auto"
 , ,"WC beneden (R11 + R84)","0/0/12","","","","DPST-1-1","Auto"
 , ,"WC beneden - ventje (T38)","0/0/13","","","","DPST-1-1","Auto"
 , ,"Wasplaats (R12)","0/0/14","","","","DPST-1-1","Auto"
 , ,"Kookeiland TL (R13)","0/0/15","","","","DPST-1-1","Auto"
 , ,"Keuken spots (R14)","0/0/16","","","","DPST-1-1","Auto"
 , ,"Keuken - ontbijthoek (U88)","0/0/17","","","","DPST-1-1","Auto"
 , ,"Dampkapverlichting (S15)","0/0/18","","","","DPST-1-1","Auto"
 , ,"Eettafel (S16)","0/0/19","","","","DPST-1-1","Auto"
 , ,"Eethoek - muur (S85)","0/0/20","","","","DPST-1-1","Auto"
 , ,"Zithoek (S18)","0/0/21","","","","DPST-1-1","Auto"
 , ,"Zithoek - muur (S86)","0/0/22","","","","DPST-1-1","Auto"
 , ,"Vide (S19)","0/0/23","","","","DPST-1-1","Auto"
 , ,"Berging (T20)","0/0/100","","","","DPST-1-1","Auto"
 , ,"Dressing (T21)","0/0/101","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1 - Plafond (T22)","0/0/102","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 1 - muur (S17)","0/0/103","","","","DPST-1-1","Auto"
 , ,"Nachtverlichting Hal (U27)","0/0/104","","","","DPST-1-1","Auto"
 , ,"Nachtverlichting Trap (U28)","0/0/105","","","","DPST-1-1","Auto"
 , ,"Nachthal (U29)","0/0/106","","","","DPST-1-1","Auto"
 , ,"Bureaulamp (U23)","0/0/107","","","","DPST-1-1","Auto"
 , ,"Bureau - plafond (U24)","0/0/108","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 2 (U25)","0/0/109","","","","DPST-1-1","Auto"
 , ,"Slaapkamer 3 (U26)","0/0/110","","","","DPST-1-1","Auto"
 , ,"Badkamer - meubel (ZG33)","0/0/111","","","","DPST-1-1","Auto"
 , ,"Badkamer - plafond (ZG34)","0/0/112","","","","DPST-1-1","Auto"
 , ,"Trap - Hoeklicht (T37)","0/0/113","","","","DPST-1-1","Auto"
 , ,"Zijgevel tegen berging (ZG95)","0/0/200","","","","DPST-1-1","Auto"
